"Id";"Descricao";"TipoUnidade_id";"Ativo";"NomeExibicao"
"01055004021002";"Gerência de informações de tráfego - GEINT / DER";"4";"1";"GEINT / DER"
"01055004021002001";"Núcleo de Pesquisa e Coleta de Dados - NUPCD / DER";"4";"1";"NUPCD / DER"
"01055004021003";"Gerência de planejamento de tráfego - GEPLAT / DER";"4";"1";"GEPLAT / DER"
"01055004021003001";"Núcleo de impacto viário - NUVIA / DER";"4";"1";"NUVIA / DER"
"01055004021004";"Gerência de transportes de cargas - GECAR / DER";"4";"1";"GECAR / DER"
"01055004021004001";"Núcleo de autorização especial de trânsito - NUAET / DER";"4";"1";"NUAET / DER"
"01055004021005";"Gerência  de Engenharia e Segurança Viária - GESEV / DER";"4";"1";"GESEV / DER"
"01055004022";"Comissão de Preparação de Leilão – CELP";"4";"1";"CELP - DER"
"01055005";"SUPERINTENDÊNCIA FINANCEIRA / SUAFIN-DER";"4";"1";"SUAFIN-DER"
"01055005001";"Diretoria de Contratos e Convênios - DICOC/DER";"4";"1";"DICOC/DER"
"01055005002";"Diretoria de Materiais e Serviços - DMASE/DER";"4";"1";"DMASE/DER"
"01055005002001";"Núcleo de Serviços Gerais - NUSEG/DER";"4";"1";"NUSEG/DER"
"01055005003";"Diretoria de Gestão de Pessoas - DIGEP/DER";"4";"1";"DIGEP/DER"
"01055005003001";"Gerência de Pessoal -  GEPES/DER";"4";"1";"GEPES/DER"
"01055005003001001";"Encarregadoria de Folha de Pagamentos - ENCFP/DER";"4";"1";"ENCFP/DER"
"01055005003001002";"NÚCLEO DE DESENVOLVIMENTO E CAPACITAÇÃO – NUDEC/DER";"4";"1";"NUDEC/DER"
"01055005003002";"Núcleo de Aposentadorias e Pensões - NUAPP/DER";"4";"1";"NUAPP/DER"
"01055005003003";"GERÊNCIA DE MEDICINA INTEGRATIVA E QUALIDADE DE VIDA – GEMIQ/DER";"4";"1";"GEMIQ/DER"
"01055005003004";"Gerência de Aposentadorias e Pensões";"4";"1";"GEAPP / DER"
