"Id";"Descricao";"Tema_id";"Ativo"
"277";"Omissão de socorro por Bombeiro";"8";"1"
"278";"Fiscalização de festas e eventos particulares";"8";"0"
"279";"Fiscalização de festas,eventos públicos";"8";"1"
"280";"Demora na religação de energia CEB";"9";"0"
"281";"Cobrança indevida na fatura de energia CEB";"9";"0"
"282";"Oscilação na tensão de energia elétrica CEB";"9";"0"
"283";"Descumprimento dos prazos de pedido de fornecimento de energia CEB";"9";"0"
"284";"Recebimento da fatura de energia elétrica ";"9";"0"
"285";"Alterações não solicitadas pelo consumidor - CEB";"9";"0"
"286";"Falha no suprimento de energia elétrica no órgão CEB";"9";"0"
"287";"Descumprimento dos prazos de religação de energia CEB";"9";"0"
"288";"Suspenção indevida de energia elétrica CEB";"9";"0"
"289";"Funcionamento das agências da CEB";"9";"0"
"290";"Atendimento na central de teleatendimento da CEB";"9";"0"
"291";"Fatura de energia elétrica não recebida";"9";"0"
"292";"Dificuldades impostas na alteração cadastral - CEB";"9";"0"
"293";"Leitura registrada diferente do medidor de energia CEB";"9";"0"
"294";"Serviços da CEB realizados fora do prazo";"9";"0"
"295";"Defeito de impressão da fatura de energia CEB";"9";"0"
"296";"Atendimento das agências";"9";"0"
"297";"Estrutura inadequada no atendimento presencial";"9";"0"
"298";"Tratamento inadequado do atendente do teleatendimento";"9";"0"
"299";"Orientação sobre ressarcimento de pagamentos da CEB";"9";"0"
"300";"Tratamento inadequado por parte do técnico da CEB";"9";"0"
"301";"Tratamento por parte do leiturista da CEB";"9";"0"
"302";"Utilização indevida de energia pública CEB";"9";"0"
"303";"Serviço prestado por órgão,entidade pública";"13";"0"
"304";"Não recebimento da 2ª via de conta de luz";"9";"0"
"305";"Fiação,Tubulacão elétrica exposta";"9";"0"
"306";"Alterações cadastrais não efetivadas - CEB";"9";"0"
"307";"Não atendimento a solicitação de serviço de energia CEB";"9";"0"
"308";"Suspensão indevida no fornecimento de energia CEB";"9";"0"
"309";"Leitura diverge da leitura do medidor de energia CEB";"9";"0"
"310";"Entrega de fatura da CEB fora do prazo";"9";"0"
"311";"Serviço emergencial da CEB concluído e não atendido";"9";"0"
"312";"Espera acima de 1 minuto no teleatendimento";"9";"0"
"313";"Pedido de interrupção do fornecimento de energia CEB";"9";"0"
"314";"Horários de funcionamento das agências da CEB";"9";"0"
"315";"Implantação de serviços ";"9";"0"
"316";"Variação brusca de consumo de energia CEB";"9";"0"
"317";"Descumprimento dos prazos de ressarcimento por danos elétricos";"9";"0"
"318";"Impossibilidade de leitura do medidor da CEB por impedimentoS";"9";"0"
"319";"Tensão da energia divergente ao contratado CEB";"9";"0"
"320";"Erro no pagamento";"9";"0"
"321";"Melhorias na distribuição de senhas";"9";"0"
"322";"Discordância referente ao valor da tarifa de energia CEB";"9";"0"
"323";"Poda de árvore em área pública";"14";"1"
"324";"Falta de Iluminação Pública";"14";"1"
"325";"Iluminação Pública (Funcionamento)";"14";"1"
"326";"Interrupção do fornecimento de energia CEB";"9";"0"
"327";"Constante falta de energia CEB";"9";"0"
"328";"Iluminação Pública (Instalação de poste)";"9";"1"
"329";"Ligação clandestina de energia elétrica - CEB";"9";"0"
"330";"Demora na revisão instalação de ponto de energia CEB";"9";"0"
"331";"Cobrança indevida pela CEB";"9";"0"
"332";"Danos elétricos";"9";"0"
"333";"Consumo elevado de energia CEB";"9";"0"
"334";"Iluminação pública (Remanejamento de poste)";"14";"1"
"335";"Serviço emergencial de energia não atendido CEB";"9";"0"
"336";"Danos elétricos causados por oscilação de energia CEB";"9";"0"
"337";"Descumprimento prazo remanejamento rede elétrica";"9";"1"
"338";"Serviço mal executado em campo pela CEB";"9";"0"
"339";"Manutenção de bueiro / Boca de Lobo";"14";"1"
"340";"Fiscalização/Retirada de obstáculos da calçada";"12";"1"
"341";"Erro no cadastro inicial - CEB";"9";"0"
"342";"Serviço fora do prazo - CEB";"9";"0"
"343";"Alterações cadastrais incorretas - CEB";"9";"0"
"344";"Valor cobrado em serviço,taxa de órgão,entidade pública";"13";"1"
"345";"Serviço mal executado em campo";"9";"0"
"346";"Atendimento Central 156";"13";"1"
"347";"Acesso à gravação do atendimento no Call Center";"13";"0"
"348";"Atendimento na Central 160";"13";"0"
"349";"Atendimento Central 162";"13";"1"
"350";"Inscrição no Telematrícula";"4";"0"
"351";"Horário de funcionamento do Call Center";"13";"0"
"352";"Pesquisa de satisfação no Call Center";"13";"0"
"353";"Demora na liberação de escritura de imóveis";"7";"0"
"354";"Critérios,normas do programa habitacional";"7";"1"
"355";"Análise de documentação habitacional";"7";"1"
"356";"Agendamento para programa habitacional";"7";"0"
"357";"Classificação no programa habitacional";"7";"1"
"358";"Solicitação de escrituras habitacional (CODHAB)";"7";"1"
"359";"Regularização de lotes em becos";"7";"1"
"360";"Demora na entrega de escrituras habitacional (CODHAB)";"7";"1"
"361";"Apoio na regularização habitacional";"7";"1"
"362";"Entrega de emprrendimento em programa habitacional";"7";"1"
"363";"Demora na regularização de escritura habitacional";"7";"0"
"364";"Venda,aluguel indevida de unidades habitacionais";"7";"1"
"365";"Regularização de lotes";"7";"1"
"366";"Liberação de escritura de imóvel (CODHAB)";"7";"1"
"367";"Programas habitacionais";"7";"1"
"368";"Regularização de imóvel ";"7";"1"
"369";"Cooperativas,entidades de habitação";"7";"1"
"370";"Prazo para construção das unidades habitacionais";"7";"1"
"371";"Liberação da escritura pública";"7";"0"
"372";"Descumprimento de acordo contratual de programa de habitação";"7";"1"
"373";"Insatisfação com normas de contrato de programa de habitação";"7";"1"
"374";"Atraso na execução de obra de programa habitacional";"7";"1"
"375";"Irregularidade na execução de obra de programa habitacional";"7";"1"
"376";"Fiscalização em unidade habitacional ";"7";"1"
"377";"Falta manutenção em unidade habitacional entregue";"7";"1"
"378";"Violência contra criança ou adolescente ";"8";"1"
"379";"Eleição para conselheiros tutelares";"8";"1"
"380";"Assistência à criança carente";"8";"1"
"381";"Fraude em eleição para o Conselho Tutelar";"8";"1"
"382";"Assistência a menino de rua";"8";"1"
"383";"Abuso sexual contra criança ou adolescente";"8";"1"
"384";"Trabalho escravo infantil";"8";"1"
"385";"Maus tratos a custodiados menores";"8";"1"
"386";"Conselho comunitário";"8";"0"
"387";"Descumprimento de determinação judicial ";"8";"1"
"388";"Instalações inadequadas ao funcionamento do órgão";"8";"0"
"389";"Maus tratos a alunos menores";"8";"1"
"390";"Núcleo de atendimento a família e autores de violência doméstica";"8";"1"
"391";"Violência psicológica à criança e adolescente";"8";"1"
"392";"Crimes pela internet à criança e adolescente";"8";"1"
"393";"Irregularidade em unidade de internação de menores";"8";"1"
"394";"Atividades sócioeducativas";"8";"1"
